,harvest,region,mills,trib,middle,reservoir,lower,delta,location,Sum,Rich,RichF,SimpF,DivF,id,k,Depth,site,CATEGORY,year,season,date,width,CC,Fines,D50,Temp,Cond,P,n,po4,SiO4,No3,no2,nh4,no2no3,Chla,omRock,imRock,OM,imSeston,BI,SH,site,lat,long,rkm,Elev,Et,k20,GPP,ER,Rp,Rb,G,NEP,MinT,MaxT,MeanT,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,DivM,SimpsonM,Fine,Gravel,Cobble,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6
sa.31,3,Tributary,Other,Tributary,Other,Other,Other,Other,3,146,8,88.49986677,6.894427088,10.68607026,Elwha46,0.037153,33,EMTRLLR,TR,2017,Summer,80817,6.1,98,10,70,14,158.6,19.72,199.2,12.73,5538.37,39.89,0.68,162.14,57.8,1.42,0.12,0.09,1.4,0.9,606.5,0,EMTRLLR,48.0634,-123.5742,12,66,0.2,0.9,2837.8,7673.4,0,7673.4,4909.8,-4835.6,10.03,14.286,12.37166,0.244510546,0.095,1.465,1.295,3.5,1.555,4.68,18.713,23.96,35.511,0,0,91.01851055,0.002686383,0.001043744,0.016095627,0.014227875,0.038453716,0.017084437,0.051418112,0.205595542,0.263243156,0.390151408,0,0.783,1.629,0.7387,0.034053629,0.575794964,0.390151408,3.684415994,0.145447778,3.733107386,-0.179809079,1.511377529,1.334301557
sa.32,3,Tributary,Other,Tributary,Other,Other,Other,Other,4,137,9,62.39963774,2.815036981,4.277460441,Elwha47,0.054106,27,EMTRIC1,TR,2017,Summer,81017,12.7,100,8,73,14.9,185.9,28.32,270.71,17.35,5686.3,110.54,0.68,162.37,131.6,0.84,0.09,0.12,4,2.6,373.6,0.0171,EMTRIC1,48.0664,-123.5846,11.2,68,0.48,0.63,1134.1,4216.8,350.7,3865.9,3083,-3082.6,13.561,16.078,14.85335,0.018274812,0.01,0.08,0.18,1.31,0.86,3.385,15.687,27.498,61.377,0,0,110.4052748,0.000165525,9.06E-05,0.000724603,0.001630357,0.011865375,0.007789483,0.030659767,0.142085603,0.249064187,0.555924525,0,0.734,1.613,0.7399,0.00261106,0.441464414,0.555924525,5.327554557,-6.4414507,2.369963531,0.166717631,-0.231024462,0.287675013
sa.33,3,Middle Elwha,Other,Other,Middle,Other,Other,Other,5,357,10,42.66592022,6.007150513,7.580140998,Elwha43,0.018219,37,EMMSTF,EM,2017,Summer,80817,55.1,18,1,93,16.9,99.3,24.39,250.2,4.8,2283.75,2.2,0.32,4.31,3.6,0.4,0.12,0.47,0.7,0.2,744,0.019,EMMSTF,48.0606,-123.581,13.1,64,0,0.77,2095.3,4809.2,0,4809.2,3205.6,-2713.9,12.359,16.474,13.96971,0.503284244,0.35,0.94,0.84,3.08,1.9,6.61,21.867,33.411,76.986,317.6,0,464.0872842,0.00108446,0.000754168,0.002025481,0.001810004,0.006636683,0.004094057,0.01424301,0.047118292,0.071992923,0.165886898,0.684354023,0.53,1.219,0.6186,0.005674114,0.144084965,0.850240921,-4.306108132,-1.733224095,0.944177891,1.941919584,-0.808587545,4.177886068
sa.34,3,Middle Elwha,Other,Other,Middle,Other,Other,Other,6,481,9,59.49966634,1.299152004,1.859913106,Elwha42,0.062376,56,EMMSMC,EM,2017,Summer,80817,54.5,19,4,65,16.5,90.3,12.02,148.92,3.3,2153.42,0.61,0.14,12.98,2.8,0.87,0.38,1.74,1,2.4,1902.9,0.045,EMMSMC,48.0438,-123.5917,15.2,75,0,0.27,5298.6,6113.8,15.8,6080,1001.5,-815.2,11.269,17.006,14.10266,0.290545822,1.12,0.91,0.925,5.09,2.655,7.35,21.654,30.297,112.338,126.8,0,309.4295458,0.000938972,0.003619564,0.002940896,0.002989372,0.016449625,0.008580305,0.023753388,0.069980389,0.097912434,0.363048718,0.409786337,0.452,0.993,0.5593,0.010488804,0.216676141,0.772835055,-4.37100216,0.714013718,0.62469201,1.168765295,0.990595264,1.214040037
sa.35,3,Middle Elwha,Other,Other,Middle,Other,Other,Other,7,476,13,61.99297424,6.104267687,9.378066549,Elwha41,0.072687,36,EMMSCG,EM,2017,Summer,81017,40.2,47,0,83,15.6,93.5,12.86,153.23,5.09,2119.24,5.3,0.29,30.86,10.4,0.42,0.12,0.16,0.9,0.6,2184,0.1172,EMMSCG,48.0293,-123.5916,17.4,92,0,0.5,6314.2,6104.7,0,6104.7,900.3,209.5,11.186,16.597,13.51334,0.213683479,0.465,1.475,0.935,2.775,1.445,6.3,26.623,33.52,32.866,0,0,106.6176835,0.002004203,0.004361378,0.013834478,0.008769652,0.026027577,0.013553099,0.059089635,0.249705294,0.314394375,0.308260308,0,0.704,1.805,0.7862,0.028969711,0.66276998,0.308260308,-0.212650713,1.937555954,-0.939521855,-0.657000654,2.858432464,1.987650668
sa.36,3,Middle Elwha,Other,Other,Middle,Other,Other,Other,8,134,8,81.63542142,4.231725228,6.451593236,Elwha40,0.032707,36,EMMSAL,EM,2017,Summer,80917,75.3,20,4,62,15.7,97.1,14.04,119.96,6.92,2242.97,9.09,1.64,24.91,13.4,0.73,0.14,1.66,0.9,0.2,2721.6,0.0723,EMMSAL,48.0123,-123.5918,19.8,110,0.06,0.47,1363.9,0,0,0,1331.9,1363.9,10.879,16.01,13.34547,0.125021155,0.845,0.17,0.04,0.25,0.365,2.395,20.695,60.609,147.392,18.9,0,251.7860212,0.000496537,0.003356024,0.000675176,0.000158865,0.000992907,0.001449644,0.009512045,0.082192808,0.240716302,0.585385953,0.075063738,0.622,1.294,0.6635,0.004686603,0.334863705,0.660449692,-1.452945623,-3.924234725,-4.048941378,-3.289737946,1.580760731,-0.644237426
sa.37,3,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,9,1336,13,61.12496097,1.17990215,1.541939932,Elwha48,0.013816,33,EMMSLA1,AR,2017,Summer,80817,41.8,17,15,92,13.2,87.1,14.68,191.59,4.39,2172.03,2.55,0.21,15.99,16.7,0.78,0.34,2.26,1,1.2,772.2,0.0293,EMMSLA1,48.0676,-123.5783,12.2,63,0,0.3,1184.9,1730.4,0,1730.4,1203.8,-545.5,12.478,16.751,14.10585,0.266083245,0.525,0.92,0.958,3.37,1.665,5.225,12.032,27.416,115.569,83.2,0,251.1460832,0.001059476,0.002090417,0.003663207,0.003814513,0.013418485,0.006629608,0.020804625,0.047908372,0.109163558,0.460166444,0.331281296,0.159,0.407,0.1457,0.010627612,0.197924648,0.79144774,-2.41095051,-0.391494471,1.249139813,0.335979375,-0.405091417,-0.204622418
sa.38,3,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,10,1336,13,79.99971857,2.113815828,2.623807286,Elwha25,0.012282,41,EMMSLA2,AR,2017,Summer,80817,46.6,6,4,60,13.1,67.8,12.46,136.78,9.08,2399.82,3.01,0.41,3.64,15.7,0.41,0.11,0.43,0.1,1.5,1748.6,0.0706,EMMSLA2,48.0722,-123.5762,11.3,62,0,0.31,2349.3,3506.5,0,3506.5,1475.1,-1157.2,12.486,16.803,14.13743,0.079831774,0.255,0.905,0.91,1.925,1.29,5.22,16.722,23.007,57.796,112.5,0,220.6098318,0.000361869,0.001155887,0.004102265,0.004124929,0.008725812,0.005847428,0.023661683,0.075798979,0.10428819,0.261982884,0.509950074,0.159,0.407,0.1457,0.00974495,0.218322092,0.771932958,-1.710478622,-0.561079217,-0.753963629,-0.894727829,-0.889460425,0.571035031
sa.39,3,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,11,1427,14,70.2499338,2.557417612,4.586701336,Elwha26,0.021132,35,EMMSLA4,AR,2017,Summer,81017,72.3,19,1,78,14,95.2,16.36,131.59,3.48,2237.94,4.99,0.24,7.8,28.8,1.48,0.53,4.02,1.3,2.6,3192,0.0282,EMMSLA4,48.0859,-123.5671,9.2,62,0.65,0.17,630.1,1467.4,0,1467.4,1050.5,-837.3,11.575,17.814,14.39932,0.125416812,0.31,0.925,0.805,2.54,1.33,5.205,13.49,16.273,33.931,0,0,74.93441681,0.001673688,0.004136951,0.012344128,0.010742727,0.033896307,0.017748854,0.069460739,0.180024087,0.21716323,0.452809289,0,0.213,0.561,0.2234,0.028897493,0.518293218,0.452809289,-0.140926706,2.053672831,-0.285027297,1.132991555,1.768923446,-2.574129799
sa.40,3,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,12,307,10,91.99970926,3.018718688,4.470778222,Elwha27,0.095203,40,EMMSLA5,AR,2017,Summer,81017,28.7,23,7,69,13.9,101.8,13.22,138.4,7.58,2088.13,5.46,0.41,70.79,8.4,0.23,0.06,0.2,1.1,1.3,958.2,0.0154,EMMSLA5,48.0929,-123.5631,8.3,61,0,0.19,1441.6,2415.8,0,2415.6,1127.1,-974.2,11.592,17.894,14.44973,0.142545917,0.12,0.57,0.62,2.155,1.15,4.18,12.23,30.026,3.887,0,0,55.08054592,0.002587954,0.002178628,0.010348481,0.011256243,0.039124521,0.020878515,0.075888863,0.222038467,0.545128947,0.07056938,0,0.523,1.204,0.57,0.026371306,0.903059314,0.07056938,2.366219737,2.1119102,-0.29574882,-1.494280579,1.013072882,0.618607357
sa.41,3,Lower Elwha,Other,Other,Other,Other,Lower,Other,13,1785,9,47.99984823,2.100080964,3.147275939,Elwha28,0.043913,36,ELMSFW,EL,2017,Summer,81117,72.5,61,6,52,14.3,91.4,18.44,257.64,4.6,2391.5,3.23,0.14,16.85,20.7,1.16,0.55,10.28,1.2,3.8,2419.2,0.0417,ELMSFW,48.1036,-123.552,6.5,24,0,0.46,2632.2,2304.6,0,2297.9,2097.2,327.6,11.699,17.273,14.20542,0.493574683,0.34,0.465,0.77,3.435,1.79,6.14,16.092,3.395,52.288,64.7,0,149.9085747,0.003292505,0.002268049,0.003101891,0.005136464,0.022913966,0.011940611,0.040958298,0.107345427,0.022647137,0.348799261,0.431596392,0.331,0.728,0.3367,0.013798908,0.205805439,0.780395653,-2.122500371,1.281037801,0.564052285,4.367849472,-1.133788309,-1.946263011
sa.42,3,Lower Elwha,Other,Other,Other,Other,Lower,Other,14,9396,13,78.8982471,4.316852432,5.937521688,Elwha29,0.024219,38,ELMSFH,EL,2017,Summer,80717,48.8,25,0,81,16.8,82.3,18.39,135.7,2.9,2294.68,1.86,0.3,4.34,32.8,1.17,0.16,1.11,1.6,8.5,3084,0.0506,ELMSFH,48.1192,-123.5541,4.6,16,0,0.21,622.9,659.7,0,659.7,831.9,-36.8,12.824,17.769,14.8686,0.434556825,0.29,0.74,0.445,1.59,0.885,3.805,16.235,13.191,142.475,85.9,0,265.9905568,0.00163373,0.001090264,0.002782054,0.001672992,0.005977656,0.003327186,0.014305019,0.061036001,0.049591986,0.535639316,0.322943796,0.188,0.483,0.2049,0.00717904,0.134237848,0.858583112,-2.679483575,-2.25522683,-1.114808598,1.721582953,1.271826145,-2.32539734
sa.43,3,Lower Elwha,Other,Other,Other,Other,Lower,Other,15,18572,13,49.39782609,2.21369283,3.141966503,Elwha30,0.014815,24,ELMSHR,EL,2017,Summer,81017,28.1,46,0,60,16.9,100.5,13.75,131.09,5.67,2569.91,5.17,0.19,50.98,18.5,1.91,0.19,0.79,1.2,1.1,2568,0.1121,ELMSHR,48.1298,-123.5586,2.9,12,0,0.35,5967.7,6457.3,0,6457.3,1937.8,-489.6,11.823,17.769,14.72701,0.150879862,0,0,0,0.11,0.42,4.105,21.057,27.863,0,0,0,53.70587986,0.002809373,0,0,0,0.002048193,0.007820373,0.076434834,0.392079974,0.518807253,0,0,0.135,0.345,0.1444,0.002809373,0.997190627,0,2.643958889,-0.02084309,-5.400286576,1.357658141,0.758351085,0.675637331
sa.44,3,Lower Elwha,Other,Other,Other,Other,Lower,Other,16,581,11,31.99943789,5.004633926,7.988552454,Elwha31,0.016088,37,ELMSNM,EL,2017,Summer,80717,17.8,24,11,56,15.8,103.1,14.84,128.91,3.67,2604.06,2.94,0.38,13.52,14.1,0.45,0.12,0.64,1.3,3.4,961.7,0.025,ELMSNM,48.1416,-123.5655,1.2,3,0.14,0.24,1341,1619.8,0,1619.8,1650.2,-278.9,12.275,17.328,14.55588,0.196621782,0.895,1.575,1.1,3.26,1.795,6.49,12.971,23.196,20.173,0,0,71.65162178,0.002744136,0.012490994,0.021981359,0.01535206,0.045497923,0.025051771,0.090577154,0.181028701,0.323733077,0.281542825,0,0.38,0.912,0.4884,0.052568549,0.665888626,0.281542825,0.419169173,4.820396125,2.376240574,-1.367379891,2.92877808,-0.461764294
sa.45,3,Delta,Other,Other,Other,Other,Other,Delta,17,544,10,56.99988193,1.695229221,2.40313922,Elwha32,0.009289,42,EP7-092816,DE,2016,Fall,92816,NA,0,4,0.4,11.6,0.296,NA,NA,10.33,NA,NA,NA,122.26,39.78,0.0002,NA,NA,0.0016,0.0038,NA,NA,EP7-092816,48.1501,-123.5592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1.083,0.5186,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.46,3,Delta,Other,Other,Other,Other,Other,Delta,18,50,8,71.28425505,1.15910365,1.549061634,Elwha34,0.00631,40,EP3-092816,DE,2016,Fall,92816,NA,0,63,0.01,12.5,1.109,NA,NA,8.9,NA,NA,NA,69.49,17.02,0.001,NA,NA,0.0017,0.0017,NA,NA,EP3-092816,48.1506,-123.5594,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749,1.558,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.47,3,Delta,Other,Other,Other,Other,Other,Delta,19,371,4,75.65356418,2.099500884,2.64531684,Elwha33,0.009767,45,ES1-100216,DE,2016,Fall,100216,NA,0,36,0.09,12.5,0.495,NA,NA,5.65,NA,NA,NA,19.85,8.84,0.001,NA,NA,0.0021,0.0007,NA,NA,ES1-100216,48.1472,-123.5635,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.645,0.3811,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.48,3,Delta,Other,Other,Other,Other,Other,Delta,20,147,4,53.99980606,1.053160271,1.185151112,Elwha35,0.011725,35,EP1-092816,DE,2016,Fall,92816,NA,0,14,0.24,13.5,1.388,NA,NA,12.21,NA,NA,NA,51.73,12.56,0.001,NA,NA,0.0015,0.0023,NA,NA,EP1-092816,48.1492,-123.5651,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.755,0.3862,NA,NA,NA,NA,NA,NA,NA,NA,NA
